label,bits,method,verdict,word_muls,word_div_steps,mod_muls,mod_sqrs,mod_reductions,high_label,high_value,k,seed
b2048_r2,2048,Solovay-Strassen,PROBABLY_PRIME,509584122,45791,20660,40920,101742,rounds,20,20,88172645463325252
b2048_r2,2048,Miller-Rabin,PROBABLY_PRIME,508158016,45117,20660,40910,62910,rounds,20,20,88172645463325252
b2048_r2,2048,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b2048_r2,2048,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b2048_r3,2048,Trial division,INCONCLUSIVE,0,31999936,0,0,499999,divisions,499999,20,88172645463325252
b2048_r3,2048,Fermat,PROBABLY_PRIME,504933795,45480,20140,40940,86481,rounds,20,20,88172645463325252
b2048_r3,2048,Solovay-Strassen,PROBABLY_PRIME,505292539,45739,20140,40920,101394,rounds,20,20,88172645463325252
b2048_r3,2048,Miller-Rabin,PROBABLY_PRIME,503947776,45084,20140,40920,62405,rounds,20,20,88172645463325252
b2048_r3,2048,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b2048_r3,2048,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
